gm,ro,co,i0,vdd,vcm,temp,corner_mos,corner_r,rload,cload,a_pass_db,f_pass,att_db,peak_db,eps_g,v_on,snr_db
1e-3,2e6,1.21e-11,100e-6,1.35,0.675,-40,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000197846,49.794
1e-3,2e6,1.21e-11,100e-6,1.35,0.75,-40,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000197846,49.794
1e-3,2e6,1.21e-11,100e-6,1.35,0.825,-40,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000197846,49.794
1e-3,2e6,1.21e-11,100e-6,1.5,0.675,-40,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000197846,49.794
1e-3,2e6,1.21e-11,100e-6,1.5,0.75,-40,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000197846,49.794
1e-3,2e6,1.21e-11,100e-6,1.5,0.825,-40,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000197846,49.794
1e-3,2e6,1.21e-11,100e-6,1.65,0.675,-40,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000197846,49.794
1e-3,2e6,1.21e-11,100e-6,1.65,0.75,-40,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000197846,49.794
1e-3,2e6,1.21e-11,100e-6,1.65,0.825,-40,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000197846,49.794
1e-3,2e6,1.21e-11,100e-6,1.35,0.675,27,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.00022448,49.7569
1e-3,2e6,1.21e-11,100e-6,1.35,0.75,27,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.00022448,49.7569
1e-3,2e6,1.21e-11,100e-6,1.35,0.825,27,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.00022448,49.7569
1e-3,2e6,1.21e-11,100e-6,1.5,0.675,27,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.00022448,49.7569
1e-3,2e6,1.21e-11,100e-6,1.5,0.75,27,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.00022448,49.7569
1e-3,2e6,1.21e-11,100e-6,1.5,0.825,27,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.00022448,49.7569
1e-3,2e6,1.21e-11,100e-6,1.65,0.675,27,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.00022448,49.7569
